name,category,address_full,website,phone_number,rating,reviews_count,hours,longitude,latitude,url
Muyen Coffee & Roastery Tebet,Kafe,"Jl. Tebet Raya No.76, RT.3/RW.3, Tebet Tim., Kec. Tebet, Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta 12820",Unknown,0819-1301-0220,"4,8",Unknown,"Kamis,07.00 hingga 23.00",106.8563359,-6.2280665,https://www.google.com/maps/place/Muyen+Coffee+%26+Roastery+Tebet/data=!4m7!3m6!1s0x2e69f3dc7107cfb3:0x3a8626931545b4c2!8m2!3d-6.2280665!4d106.8563359!16s%2Fg%2F11fb2j311p!19sChIJs88HcdzzaS4RwrRFFZMmhjo?authuser=0&hl=id&rclk=1
Kopi Nako Tebet,Kedai Kopi,"Jl. Tebet Barat Dalam X Parkiran No.10, RT.10/RW.5, Tebet Bar., Kec. Tebet, Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta 12810",Unknown,Unknown,"4,6",Unknown,"Kamis,08.00 hingga 23.00",106.8525089,-6.2419937,https://www.google.com/maps/place/Kopi+Nako+Tebet/data=!4m7!3m6!1s0x2e69f36eba3221f3:0xdaadf7dde0f8280e!8m2!3d-6.2419937!4d106.8525089!16s%2Fg%2F11jkzpr785!19sChIJ8yEyum7zaS4RDij44N33rdo?authuser=0&hl=id&rclk=1
ORKA Coffee - Tebet,Kedai Kopi,"Jl. Tebet Barat Dalam Raya No.60, RT.5/RW.3, Tebet Bar., Kec. Tebet, Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta 12810",Unknown,0812-8025-6060,"4,6",Unknown,"Kamis,08.00 hingga 22.00",106.8467555,-6.2365625,https://www.google.com/maps/place/ORKA+Coffee+-+Tebet/data=!4m7!3m6!1s0x2e69f3bb561ebaff:0x83e06b20c1d83cf7!8m2!3d-6.2365625!4d106.8467555!16s%2Fg%2F11lgkthlj0!19sChIJ_7oeVrvzaS4R9zzYwSBr4IM?authuser=0&hl=id&rclk=1
"LEGE Coffee & Toastie, Tebet",Kedai Kopi,"Jl. Tebet Utara I No.8, RT.5/RW.2, Tebet Tim., Kec. Tebet, Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta 12820",Unknown,(021) 22908128,"4,8",Unknown,"Kamis,07.00 hingga 22.00",106.8527977,-6.2262174,"https://www.google.com/maps/place/LEGE+Coffee+%26+Toastie,+Tebet/data=!4m7!3m6!1s0x2e69f36a4b7928b7:0x3e9d213cd7567299!8m2!3d-6.2262174!4d106.8527977!16s%2Fg%2F11swf6s5bp!19sChIJtyh5S2rzaS4RmXJW1zwhnT4?authuser=0&hl=id&rclk=1"
Wood & Brew Café,Kedai Kopi,"Jl. Tebet Timur Raya No.8D, RT.8/RW.10, Tebet Tim., Kec. Tebet, Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta 12820",Unknown,0851-2192-1231,"4,8",Unknown,"Kamis,09.00 hingga 22.00",106.8525059,-6.2309364,https://www.google.com/maps/place/Wood+%26+Brew+Caf%C3%A9/data=!4m7!3m6!1s0x2e69f31cf132ca65:0xa5805cff6786a78f!8m2!3d-6.2309364!4d106.8525059!16s%2Fg%2F11vsf8yv39!19sChIJZcoy8RzzaS4Rj6eGZ_9cgKU?authuser=0&hl=id&rclk=1
Loffee Coffee & Eatery,Restoran,"13, Jl. Tebet Timur Dalam Raya No.44b, RT.1/RW.9, Tebet Tim., Kec. Tebet, Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta 12820",Unknown,0897-9311-696,"4,8",Unknown,Unknown,106.8563903,-6.2396851,https://www.google.com/maps/place/Loffee+Coffee+%26+Eatery/data=!4m7!3m6!1s0x2e69f3247a06f5fb:0x3687dfc5c814ee6d!8m2!3d-6.2396851!4d106.8563903!16s%2Fg%2F11s4wdyyw6!19sChIJ-_UGeiTzaS4Rbe4UyMXfhzY?authuser=0&hl=id&rclk=1
Sleepless Owls,Kedai Kopi,"Jl. Tebet Utara Dalam No.27 7, RT.10/RW.2, Tebet Tim., Kec. Tebet, Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta 12820",Unknown,(021) 22837396,"4,3",Unknown,"Kamis,08.00 hingga 00.00",106.854612,-6.2259828,https://www.google.com/maps/place/Sleepless+Owls/data=!4m7!3m6!1s0x2e69f38535f0b507:0x1ae76a51d8f772b8!8m2!3d-6.2259828!4d106.854612!16s%2Fg%2F11cmcbwxj5!19sChIJB7XwNYXzaS4RuHL32FFq5xo?authuser=0&hl=id&rclk=1
Kopi Calf To Go Tebet,Kedai Kopi,"Jl. Tebet Raya No.55, RT.9/RW.1, Tebet Tim., Kec. Tebet, Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta 12820",Unknown,0852-8571-1031,"4,7",Unknown,"Kamis,08.00 hingga 00.00",106.8552938,-6.2282969,https://www.google.com/maps/place/Kopi+Calf+To+Go+Tebet/data=!4m7!3m6!1s0x2e69f33e12735d95:0x6160b7d04dd2cc30!8m2!3d-6.2282969!4d106.8552938!16s%2Fg%2F11mybz68hq!19sChIJlV1zEj7zaS4RMMzSTdC3YGE?authuser=0&hl=id&rclk=1
Coffee & Thyme Tebet,Kedai Kopi,"Jl. Tebet Timur Dalam Raya No.53 C, RT.8/RW.11, Tebet Tim., Kec. Tebet, Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta 12820",Unknown,0813-8910-1302,"4,7",Unknown,"Kamis,10.00 hingga 23.30",106.8570217,-6.233352,https://www.google.com/maps/place/Coffee+%26+Thyme+Tebet/data=!4m7!3m6!1s0x2e69f3663259d9df:0xf6150d0915bd2835!8m2!3d-6.233352!4d106.8570217!16s%2Fg%2F11t29b6sjx!19sChIJ39lZMmbzaS4RNSi9FQkNFfY?authuser=0&hl=id&rclk=1
Ribbon Coffee & Eatery,Kedai Kopi,"Jl. Tebet Bar. No.18, RT.10/RW.5, Tebet Bar., Kec. Tebet, Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta 12810",Unknown,0811-888-192,"4,5",Unknown,"Kamis,09.00 hingga 23.00",106.8505207,-6.2332308,https://www.google.com/maps/place/Ribbon+Coffee+%26+Eatery/data=!4m7!3m6!1s0x2e69f30078f16e81:0x3530361f5058f2aa!8m2!3d-6.2332308!4d106.8505207!16s%2Fg%2F11vs0y06sl!19sChIJgW7xeADzaS4RqvJYUB82MDU?authuser=0&hl=id&rclk=1
